skill,format_number,title,grade,flattened_content
Measurement,12.10,COUNTING COINS TO REACH AN EXACT AMOUNT,2,"Format 12.10 | Title: COUNTING COINS TO REACH AN EXACT AMOUNT | Grade: 2 | Parts: Part: Part A: Choosing the Correct Coins | Steps: Step 1 | Teacher: Today you're each going to count out money. I'll tell you how much something costs and you count out the money to buy it. When you count to reach an exact amount of money, you start with the coins that are worth the most so you can use the fewest number of coins. If I want to buy something for 25c, would I use 25 pennies or 1 quarter? Why? Right, a quarter is worth more than a penny. If I want to buy something that costs 20c, would I use nickels or dimes? Why? | Student: 1 quarter
A quarter is worth more than a penny.
Dimes
A dime is worth more than a nickel. | Notes: Have coins ready for each student to use. || Step 2 | Teacher: My turn. I want to buy a balloon that costs 31c. I start with a quarter: 25, 30, 31. | Notes: Display Q N P. || Step 3 | Teacher: Your turn. A toy car costs 28c. Start with the coin that's worth the most and count out 28c. | Student: Students should put out a quarter and three pennies. | Notes: Pass out coins. Monitor student responses. Repeat step 3 with several more examples. || Part: Part B: Counting Coins When You Don't Have the Exact Amount | Steps: Step 1 | Teacher: I'm going to use the coins I have to buy something that costs 56c. This is all the money I have to use. I start with the coin that has the greatest value. I get as close as I can. If I don't have the exact amount, I have to give more. I'll get the extra money back as change. Watch. 25, 50, 60. I paid more than 56c, so I'll get some change back. | Notes: Display 56¢. Below, display Q Q Q D D D. Circle a coin (Q, Q, and D) each time you count. Provide students a worksheet with problems like: a. 36¢ Q D D N, b. 72¢ Q D D D N N P, c. 29¢ D D D N N P P. || Step 2 | Teacher: Your turn. Point to problem a on your worksheet. Start with the coin worth the most. If you don't have exactly 36c, count more than 36. Circle the coins you'll use. Raise your hand when you're done. Tell me the coins you circled. | Student: Q, D, N | Notes: Wait until most hands are raised. || Step 3 | Teacher: Solve the remaining problems. | Notes: Repeat step 2 with the remaining problems."
Measurement,12.11,DECIMAL NOTATION FOR MONEY,4,"Format 12.11 | Title: DECIMAL NOTATION FOR MONEY | Grade: 4 | Parts: Part: Part A: Reading Decimal Notation | Steps: Step 1 | Teacher: Display $4.32. || Step 2 | Teacher: Here is the way to write dollars and cents. This dot is a decimal point. It divides dollars and cents. This (4) tells us four dollars. These two numbers (32) tell us about cents. I'll read the amount: Four dollars and thirty-two cents. | Notes: Highlight the decimal point, the 4, and the 32 respectively. || Step 3 | Teacher: How many dollars? How many cents? Say the whole amount. | Student: 3 dollars
62 cents
$3.62 | Notes: Display $3.62. Repeat step 3 with $7.20, $.45, $6.00, $.30. For examples with no dollars, model the response on the first day. || Part: Part B: Writing with Decimal Notation | Steps: Step 1 | Teacher: You're going to write money amounts using a dollar sign and a decimal point. | Notes: Provide each student a sheet of lined paper. || Step 2 | Teacher: Listen: Eight dollars and thirty-two cents. Say that. How many dollars? Write a dollar sign, then an 8. | Student: $8.32
8 dollars || Step 3 | Teacher: Eight dollars and thirty-two cents. How many cents? Write a decimal point on the line. Then write 32. | Student: 32 cents || Step 4 | Teacher: What amount did you write? | Student: $8.32 | Notes: Repeat steps 2-4 with these examples: $6.42, $.32, $4.10, $7.00, $.57, and $9.00."
Fractions,13.1,INTRODUCING FRACTIONS,1,"Format 13.1 | Title: INTRODUCING FRACTIONS | Grade: 1 | Parts: Part: Part A: Number of Parts in Each Whole | Steps: Step 1 | Teacher: (Draw the following diagram on the board.)
1. (Highlight A.) I've drawn whole units on a number line. The tall lines show the end of each whole unit.
(Highlight first tall line in A.) Here's a whole unit.
(Highlight second tall line in A.) Here's a whole unit.
(Highlight third tall line in A.) Here's a whole unit.
(Draw a line under the first whole unit.) || Step 2 | Teacher: 2. Look at the first whole unit. (Highlight.) The small lines show the parts in each whole unit. Count the parts inside the first whole unit. | Student: 1, 2, 3, 4
How many parts in the first whole unit? (Display 4 for the denominator in the first box.) || Step 3 | Teacher: (Underline the next whole unit.)
3. Look at the second whole unit. (Highlight.) Count the parts inside the second whole unit.
How many parts in the second whole unit? (Display 4 for the denominator in the second box.)
(Underline the third whole unit.)
Look at the third whole unit. (Highlight.) Count the parts inside the third whole unit. (Display 4 for the denominator in the third box.)
How many parts in the third whole unit?
There are 4 parts in each whole unit. So the bottom number of the fraction is 4. (Display 4 in the denominator of the fraction after line A.) | Student: 4
1, 2, 3, 4
4
1, 2, 3, 4
4 | Notes: To correct: Note: This is an important preskill. If students do not understand the number of parts in each whole unit, they will not write the correct denominator for fractions. (First, highlight to students the first whole unit on the number line.) This is where the first whole unit starts and where it stops. As I touch them, start at the beginning and count the parts in that whole unit. How many parts are in that unit? Now, let's count the parts in the next whole unit. How many parts are in that whole unit? There were 4 parts in the first whole unit and 4 parts in this whole unit. So how many parts are in each whole unit? || Step 4 | Teacher: 4. (Repeat steps 1-3 for examples B and C.) || Part: Part B: Writing the Top Part | Description: (Draw a diagram like the one below on the board.) | Steps: Step 1 | Teacher: 1. (Highlight number line A.) Count the number of parts in each whole unit. (Pause.) How many parts in each whole unit?
Do I display that on the bottom or the top of the fraction? (Display 4 as the denominator of all fractions on number line A.) | Student: 4
Bottom || Step 2 | Teacher: 2. Now we are going to display the top numeral of the fraction right here. (On number line A highlight the top of box 1.)
To figure out the top numeral of the fraction we count from the beginning and stop here. Count the parts.
Yes, when we counted from the beginning and stopped here. We have 4, so I display 4 on the top of the fraction. | Student: 1, 2, 3, 4 || Step 3 | Teacher: 3. Now we are going to display the numeral for the top of the fraction right here. (On number line A highlight the top of box 2.)
Remember, to figure out the top numeral of the fraction we count from the beginning and stop here. Count the parts.
Yes, when we counted from the beginning and stopped here. We have 8, so I display 8 on the top. | Student: 1, 2, 3, 4, 5, 6, 7, 8 || Step 4 | Teacher: 4. Now we are going to display the top numeral of this fraction right here. (On number line A highlight the top of box 3.)
Remember, to figure out the top numeral of the fraction we count from the beginning and stop here. Count the parts.
Yes, when we counted from the beginning and stopped here we have 12, so I display 12 on the top.
(Repeat steps 1-4 for examples B and C.) | Student: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 || Part: Part C: Writing Complete Fractions | Description: (Draw the following on the board.) | Steps: Step 1 | Teacher: 1. Now we are going to display three fractions for each number line. Look at A. Count the number of parts in each whole unit. (Pause.) How many parts in each whole unit?
So do I display that on the top or the bottom of the fraction?
Yes, I display 8 on the bottom of each fraction. | Student: 8
Bottom || Step 2 | Teacher: 2. (Highlight the first fraction box.) We are going to display a fraction right here. We figure out the top numeral of the fraction by counting from the beginning and stopping here. Count the parts.
Yes, there are 8 parts. So I display 8 on the top of this fraction. | Student: 1, 2, 3, 4, 5, 6, 7, 8 || Step 3 | Teacher: 3. (Highlight the second fraction box.) We are going to display a fraction right here. We figure out the top numeral of the fraction by counting from the beginning and stopping here. Count the parts.
Yes, there are 16 parts. So I display 16 on the top of this fraction. | Student: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 || Step 4 | Teacher: 4. (Highlight the fraction box for the shaded part.) Now, we are going to display a fraction for the shaded part. We figure out the top numeral of the fraction by counting from the beginning of the shaded part. Count the parts.
Yes, there are 21 shaded parts. So I display 21 on the top of the fraction.
(Repeat steps 1-4 for B and C.) | Student: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21 || Part: Part D: Structured Worksheet | Description: (Create a worksheet for students containing examples like the following.) | Steps: Step 1 | Teacher: 1. You are going to display the fractions for the whole units and for the shaded parts. Highlight A. Count the number of parts in each whole. How many parts in each whole unit?
Where do you display the 4?
Display 4 as the bottom numeral for each of the fractions. | Student: 4
On the bottom || Step 2 | Teacher: 2. Now you are going to display the top numeral for this whole unit. (Highlight 1 on A.) How do we figure out the top numeral of the fraction?
Raise your hand when you are done counting. What is the top number?
Display 4 as the top numeral in the first fraction. | Student: Count from the beginning and stop here
4 || Step 3 | Teacher: 3. Now you are going to display the top numeral for the shaded part. How do we figure out the top numeral of the fraction?
Raise your hand when you are done counting. What is the top number?
Display 6 as the top numeral for the shaded part. | Student: Start counting at the beginning of the shaded part
6 || Step 4 | Teacher: 4. (Highlight 2 on A.) Now you are going to display the top numeral for this whole unit. How do we figure out the top numeral of this fraction?
Raise your hand when you are done counting. What is the top number?
Display 8 as the top numeral for that fraction. | Student: Count from the beginning
8 || Step 5 | Teacher: 5. (Highlight 3 on A.) Now you are going to display the top numeral for this whole unit. How do we figure out the top number?
Raise your hand when you are done counting. What is the top number?
Display 12 as the top numeral for that fraction.
(Repeat steps 1-5 for B-D.) | Student: Count from the beginning
12"
Fractions,13.2,PART-WHOLE DISCRIMINATION,1,"Format 13.2 | Title: PART-WHOLE DISCRIMINATION | Grade: 1 | Parts: Part: Part A | Steps: Step 1 | Teacher: 1. (Draw the following circles on the board.) || Step 2 | Teacher: 2. (Highlight the first circle.) This is a whole unit. What is this?
(Highlight the second circle.) This is a whole unit. What is this?
How many units? | Student: A whole unit
A whole unit
2 || Step 3 | Teacher: 3. Each whole unit has parts. The parts are all the same size. Let's see how many parts are in each whole unit. || Step 4 | Teacher: 4. (Highlight first unit.) Count the parts as I highlight them. (Highlight each part in the first circle.)
How many parts in this whole unit? | Student: 1, 2, 3
3 || Step 5 | Teacher: 5. (Highlight the second circle.) Now let's count the parts in this whole unit. (Highlight each part as students count.) | Student: 1, 2, 3 || Step 6 | Teacher: 6. How many parts in each whole unit? | Student: 3 parts || Step 7 | Teacher: 7. Yes, three parts in each whole unit. Present that. | Student: 3 parts in each whole unit || Step 8 | Teacher: 8. Now think: How many whole units?
Yes, there are 2 whole units with 3 parts in each unit.
(Repeat steps 1-8 with other examples.) | Student: 2"
Fractions,13.3,WRITING NUMERICAL FRACTIONS,1,"Format 13.3 | Title: WRITING NUMERICAL FRACTIONS | Grade: 1 | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: 1. (Draw the following circles on the board.) || Step 2 | Teacher: 2. We're going to learn to display fractions. Fractions tell us how many parts in each whole unit and how many parts are used. || Step 3 | Teacher: 3. The bottom number of a fraction tells how many parts in each whole. What does the bottom number tell?
Look at this picture and think: how many parts in each whole?
I'll display 4 as the bottom number. That tells us 4 parts in each whole. What does the 4 tell us? | Student: How many parts in each whole
4
4 parts in each whole | Notes: To correct: Let's see how many parts are in each whole. (Highlight first circle.) Count the parts as I highlight them. (Highlight each part in the first circle. Repeat same procedures with next two circles.) There are 4 parts in this whole and 4 parts in this whole. There are 4 parts in each whole.
So what is the bottom number of the fraction? || Step 4 | Teacher: 4. The top number tells us how many parts are used. What does the top number tell us?
We find how many parts are used by counting the shaded parts. (Highlight each shaded part.) Count as I highlight the parts. How many parts are shaded?
So I display 5 as the top number of the fraction. (Display 5 on top.) That tells us 5 parts are used. What does the 5 tell us? | Student: How many parts are used
1, 2, 3, 4, 5
5
5 parts are used || Step 5 | Teacher: 5. I'll present what the fraction tells us. (Highlight 4.) 4 parts in each whole. (Highlight 5.) 5 parts are used. || Step 6 | Teacher: 6. You present what the fraction tells us. (Highlight 4.)
(Highlight 5.)
(Repeat steps 5-6 until students respond without hesitation. Give individual turns to several students.) | Student: 4 parts in each whole
5 parts are used || Step 7 | Teacher: 7. (Repeat steps 1-4 with the problems below.) || Part: Part B: Structured Worksheet | Description: 1. (Give students a worksheet with problems like those that follow.) | Steps: Step 2 | Teacher: 2. Highlight picture a. You're going to display the fraction for the picture. || Step 3 | Teacher: 3. First we display how many parts in each whole. Where do you display the number of parts in each whole?
Look and see how many parts in each whole. (Pause.) How many parts in each whole?
Where do you display 3?
Display the number. | Student: In the bottom box
3
In the bottom box || Step 4 | Teacher: 4. Now we display the number of parts used. Where do you display the number of parts used?
Count the shaded parts. (Pause.) How many parts were used? | Student: On the top
4 || Step 5 | Teacher: 5. Highlight the bottom number. (Pause.) What does that tell us?
Highlight the top number. What does that tell us?
(Repeat steps 4-5 until students answer without hesitation. Give individual turns to several students on steps 4-5. Repeat steps 1-5 with remaining figures.) | Student: 3 parts in each whole
4 parts are used || Part: Part C: Less Structured Worksheet | Description: 1. (Give students a worksheet similar to the one in Part B.)
Highlight problem a. | Steps: Step 2 | Teacher: 2. Where do you display how many parts in each whole unit? | Student: On the bottom || Step 3 | Teacher: 3. What do you display on the top?
Display the numerals. | Student: How many parts are used || Step 4 | Teacher: 4. Highlight the bottom number. What does it tell us? | Student: _______parts in each whole || Step 5 | Teacher: 5. Highlight the top number. What does the top number tell us?
(Repeat steps 1-5 with remaining examples.) | Student: _______parts are used"
Fractions,13.4,READING FRACTIONS,2,"Format 13.4 | Title: READING FRACTIONS | Grade: 2 | Parts: Part: Part A | Steps: Step 1 | Teacher: 1. (Display the following fractions on the board.)
4/9 1/9 1/4 3/4 8/7 1/7 3/4 1/4
So far we've learned what fractions tell us to do. Today we're going to learn to read fractions a new way. My turn to read this fraction. (Highlight 4.) Four (Highlight 9) ninths. || Step 2 | Teacher: 2. Your turn. (Highlight 4, then 9.) | Student: Four-ninths || Step 3 | Teacher: 3. (Repeat steps 1 and 2 with half the examples on the board.) || Step 4 | Teacher: 4. (Repeat only step 2 with the remaining examples.) | Notes: To correct: Model and test correct answer; review series."
Fractions,13.5,"DETERMINING WHETHER A FRACTION EQUALS, EXCEEDS, OR IS LESS THAN ONE WHOLE",2,"Format 13.5 | Title: DETERMINING WHETHER A FRACTION EQUALS, EXCEEDS, OR IS LESS THAN ONE WHOLE | Grade: 2 | Parts: Part: Part A: Pictorial Demonstrations | Steps: Step 1 | Teacher: 1. I'll draw a picture on the board. You tell me if we use up more than one whole, less than one whole, or just one whole (Draw the diagram below.) || Step 2 | Teacher: 2. Did I shade more than one whole, less than one whole, or just one whole?
Yes, less than one whole unit. Each circle has 4 parts, but I only shaded 3 parts.
(Repeat step 2 with the examples below.) | Student: Less than one whole unit || Part: Part B: Structured Board Presentation | Steps: Step 1 | Teacher: 1. We're going to learn some rules so we can tell if a fraction equals one whole or equals more or less than one whole without drawing a picture. || Step 2 | Teacher: 2. First rule: A fraction equals one whole when the top number and bottom number are the same. When does a fraction equal one whole? | Student: When the top number and bottom number are the same || Step 3 | Teacher: 3. (Display the following fraction on the board.)
4/4
(Highlight the fraction.) Does this fraction equal one whole?
How do you know?
(Repeat step 3 with the problems below.)
7/4 2/3 5/5 1/4 8/8 | Student: Yes
The top number and bottom number are the same. || Step 4 | Teacher: 4. Listen to these new rules: If the top number is more than the bottom number, the fraction equals more than one whole. When does a fraction equal more than one whole?
If the top number is less than the bottom number, the fraction equals less than one whole. When does a fraction equal less than one whole? | Student: When the top number is more than the bottom number
When the top number is less than the bottom number || Step 5 | Teacher: 5. (Display the following fraction on board.)
3/5
Is the top number the same as the bottom number?
So does the fraction equal one whole?
Is the top number more or less than the bottom number?
So does the fraction equal more or less than one whole?
How do you know?
Yes, 5 parts in each whole and only 3 parts are used.
(Repeat step 5 with the problems below.)
3/4 3/3 3/2 4/5 4/4 4/2 | Student: No
No
Less
Less than one whole
The top number is less than the bottom number. || Part: Part C: Structured Worksheet | Description: (Give students worksheets with problems like these.)
a. 5/4 more equal less
b. 7/8 more equal less
c. 3/3 more equal less | Steps: Step 1 | Teacher: 1. In these problems you have to tell if a fraction is more than one whole, equals one whole, or is less than one whole. || Step 2 | Teacher: 2. Read the fraction in problem a. | Student: 5/4 || Step 3 | Teacher: 3. Does the fraction equal one whole? | Student: No || Step 4 | Teacher: 4. Is the top number more or less than the bottom number?
So does the fraction equal more or less than one whole?
Put a circle around the word 'more.'
(Repeat steps 1-4 with remaining problems.) | Student: More
More than one whole"
Fractions,13.6,READING AND WRITING MIXED NUMERALS,3,"Format 13.6 | Title: READING AND WRITING MIXED NUMERALS | Grade: 3 | Parts: Part: Part A: Pictorial Demonstrations | Description: (Draw the following diagrams on the board.) | Steps: Step 1 | Teacher: 1. You're going to learn how to display the fraction in this picture a new way. First, let's display the fraction the old way. How many parts in each whole? | Student: 4 || Step 2 | Teacher: 2. Where do I display it?
Display it. | Student: On the bottom || Step 3 | Teacher: 3. How many parts are used? | Student: 14 || Step 4 | Teacher: 4. Where do I display it?
Display it. | Student: On the top || Step 5 | Teacher: 5. Now we're going to display the fraction as a mixed number. A mixed number has a whole number and a fraction. What does a mixed number have? | Student: A whole number and a fraction || Step 6 | Teacher: 6. First we count the number of wholes used up. Count as I highlight. How many wholes are used?
So I display 3 in the box. (Display 3 in the box.) | Student: 3 || Step 7 | Teacher: 7. Now we display the fraction to tell about the whole not used. (Highlight the last circle.) What do I display as the bottom number in the fraction?
(Display 4.)
What do I display as the top number in the fraction?
(Display 2.) | Student: 4
2 | Notes: To correct: There are 4 parts in each whole.
To correct: There are 2 parts shaded. The fraction that tells about the whole not used says 2/4. || Step 8 | Teacher: 8. The mixed number says three and two-fourths, what does the mixed number say?
There are 3 whole units used and 2/4 of another whole unit used.
(Repeat steps 1-8 with these examples.) || Part: Part B: Structured Board Presentation | Steps: Step 1 | Teacher: 1. (Display the following on the board.)
2 1/3 || Step 2 | Teacher: 2. A mixed number is a whole number and a fraction. What is a mixed number? | Student: A whole number and a fraction || Step 3 | Teacher: 3. (Highlight: 2 1/3.)
What's the whole number?
What's the fraction? | Student: 2
1/3 || Step 4 | Teacher: 4. My turn. We read this mixed number as two and one-third. How do we read this mixed number? | Student: two and one-third || Step 5 | Teacher: 5. (Display the following on the board.)
3 7/8
What's the whole number?
What's the fraction?
Read the mixed number.
(Repeat step 5with these mixed numbers.)
5 1/7, 4 2/5, 4 1/2 | Student: 3
7/8
three and seven-eighths || Part: Part C: Structured Worksheet | Steps: Step 1 | Teacher: 1. Listen: two and three-fourths. Present that.
What is the whole number?
I display 2 so that it takes up the whole space.
(Model displaying on the board or document camera.) | Student: two and three-fourths
2 || Step 2 | Teacher: 2. Listen two and three-fourths. What is the fraction?
I display the fraction line in the middle of the space next to the 2. Then I display the fraction numbers small. (Model displaying on the board or document camera.)
2 3/4 | Student: 3/4 || Step 3 | Teacher: 3. What is the mixed number?
(Repeat steps 1-3 with the problems below.)
7 1/2, 4 2/5 | Student: two and three-fourths || Step 4 | Teacher: 4. Now it's your turn. You're going to display the mixed number five and two-thirds. What mixed number are you going to display? | Student: five and two-thirds || Step 5 | Teacher: 5. Listen: five and two-thirds. What is the whole number?
Display it. Make it big so that it touches both lines. (Monitor responses.) | Student: 5 || Step 6 | Teacher: 6. Listen: five and two-thirds. What is the fraction?
Put the fraction line right in the middle of the space next to the 5. Then display 2/3. Display the numbers small. | Student: 2/3 || Step 7 | Teacher: 7. Listen: three and five-sixths. Present it.
Display it. (Monitor responses. Repeat step 7 with the following mixed numbers.)
4 1/8, 4 3/4, 4 1/2 | Student: three and five-sixths"
Fractions,13.7,PRESKILL: CONSTRUCTING FRACTIONS EQUAL TO 1,3,"Format 13.7 | Title: PRESKILL: CONSTRUCTING FRACTIONS EQUAL TO 1 | Grade: 3 | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: 1. Here's a rule: When the top number is the same as the bottom, the fraction equals one whole. When does a fraction equal one whole? | Student: When the top number is the same as the bottom number || Step 2 | Teacher: 2. (Display the following on the board.)
[]/5
What number is on the bottom of this fraction?
What fraction with a 5 as the bottom number equals one whole?
Yes, 5/5 equals one whole.
(Repeat step 2 with these problems.)
[]/8 []/3 []/6 []/9 | Student: 5
5/5 | Notes: To correct: A fraction equals 1 when the top number is the same as the bottom number. What's the bottom number? What must the top number be?
(Repeat step 2.) || Part: Part B: Structured Worksheet | Description: (Give students worksheets with examples like these.)
a. 1 = []/4 | Steps: Step 1 | Teacher: 1. When does a fraction equal one whole? | Student: When the top number is the same as the bottom number || Step 2 | Teacher: 2. Highlight problem a. It says 1 equals how many fourths? Read the problem. | Student: 1 equals how many fourths? || Step 3 | Teacher: 3. Tell me the fraction with 4 as a denominator that equals one whole. Yes, 4/4 equals one whole. | Student: 4/4 || Step 4 | Teacher: 4. Fill in the missing number.
(Repeat steps 1-4 with remaining problems.) | Student: Students display 4 in box."
Fractions,13.8,COMPUTING EQUIVALENT FRACTIONS,4,"Format 13.8 | Title: COMPUTING EQUIVALENT FRACTIONS | Grade: 4 | Parts: Part: Part A: Pictorial Demonstrations | Steps: Step 1 | Teacher: 1. Fractions are equivalent when they show the same amounts. (Draw these figures on clear plastic sheets. The circles should be the same size. Use a different color for each figure as in the video.) || Step 2 | Teacher: 2. This is a picture of 5/10. (Highlight first figure.) This is picture of 1/2. (Highlight second figure.) || Step 3 | Teacher: 3. Would a person who had 5/10 of a pie have the same amount as a person who had 1/2 a pie? | Student: Yes | Notes: To correct: (Place one figure on top of the other. Outline the shaded part.) See, the shaded portion is the same size in both pies. || Step 4 | Teacher: 4. So are 5/10 and 1/2 equivalent fractions? | Student: Yes || Step 5 | Teacher: 5. Yes, 5/10 and 1/2 both use the same amount of a whole.
(Repeat steps 1-5 with these pairs.) || Part: Part B: Multiplying by 1 | Steps: Step 1 | Teacher: 1. When you multiply by 1, the answer equals the number you start with. || Step 2 | Teacher: 2. (Display the following problem on the board.)
3/8 x 1
What number do we start with?
Will our answer equal 3/8?
How do you know?
(Repeat step 2 with the following problems.) | Student: 3/8
Yes
We are multiplying by 1 || Step 3 | Teacher: 3. Here's a rule about fractions: When you multiply by a fraction that equals 1, your answer equals the number you start with. Listen, again. (Repeat rule.) || Step 4 | Teacher: 4. (Display the following problem on the board.)
4/8 X 2/2
What fraction do we start with?
What are we multiplying 4/8 by? | Student: 4/8
2/2 || Step 5 | Teacher: 5. Does 2/2 equal 1?
So will our answer equal 4/8?
How do you know?
(Repeat steps 4 and 5 with the problems below.)
4/8 x 4/4, 5/6 x 3/6, 5/6 x 2/3, 3/9 x 8/8, 7/2 x 9/9, 2/4 x 4/4 | Student: Yes
Yes
We are multiplying by a fraction that equals 1. || Part: Part C: Structured Board Problems | Steps: Step 1 | Teacher: 1. (Display the following problem on the board.)
2/3 ( ) = []/12 || Step 2 | Teacher: 2. We don't change the value of a fraction when we multiply it by a fraction that equals 1. || Step 3 | Teacher: 3. These parentheses indicate multiplication. We're going to multiply 2/3 by a fraction that equals 1. We have to figure out the fraction that equals 1. || Step 4 | Teacher: 4. We are going to end with a fraction that has the same value as 2/3.
(Highlight 12.)
What's the denominator of the fraction we end with?
Three times what number equals 12?
So we multiply by a fraction that has a denominator of 4. | Student: 12
4 || Step 5 | Teacher: 5. (Display 4 inside parentheses.)
2/3 ( /4) = []/12 || Step 6 | Teacher: 6. The fraction inside the parentheses must equal 1. If the bottom number is 4, what must the numerator be?
(Display a four in the numerator inside parentheses.)
2/3 (4/4) = []/12
Yes, we multiply 2/3 by 4/4. What do we multiply 2/3 by? | Student: 4
four-fourths || Step 7 | Teacher: 7. We figured out the fraction equal to 1 that we're multiplying by. Let's multiply and figure out how many twelfths 2/3 equals. 2x4 = how many?
(Display the problem on the board.)
2/3 (4/4) = 8/12 | Student: 8 || Step 8 | Teacher: 8. We multiplied 2/3 by a fraction that equals 1 and ended with 8/12;
2/3 equals 8/12.
(Repeat steps 1-8 with these problems.)
3/5 = []/10, 2/3 = []/15, 2/7 = []/21 || Part: Part D: Structured Worksheet | Description: (Give students a worksheet with problems similar to these.)
a. 3/4 ( ) = []/8, b. 5/9 ( ) = []/27, c. 1/4 ( ) = []/20
d. 2/5 ( ) = []/20, e. 3/5 ( ) = []/35, f. 2/3 ( ) = []/12 | Steps: Step 1 | Teacher: 1. Highlight problem a. It says 3/4 Equals how many eighths? What does the problem present? | Student: three-fourths equals how many eighths? || Step 2 | Teacher: 2. We have to multiply 3/4 by a fraction that equals 1. What is the denominator of the fraction we start with?
What is the denominator of the fraction we end with?
Four times what number equals 8?
Display 2 as the denominator in the parentheses. | Student: 4
8
2 || Step 3 | Teacher: 3. We're multiplying 3/4 by a fraction that equals 1. What fraction with a denominator of 2 equals one whole?
Display 2 as a numerator in the parentheses. | Student: 2/2 || Step 4 | Teacher: 4. We figured out the fraction equal to 1. Now what do we multiply to figure out the missing numerator?
What is 3 x 2?
Display 6 in the box. | Student: 3 X 2
6 || Step 5 | Teacher: 5. What fraction equals 3/4? | Student: 6/8 || Step 6 | Teacher: 6. How do you know that 3/4 equals 6/8?
(Repeat steps 1-6 with remaining problems.) | Student: We multiplied by a fraction that equals 1. || Part: Part E: Less Structured Worksheet | Description: 1. (Give students a worksheet with problems like the one below. Note that parentheses aren't displayed in.)
a. 5/6 = []/12, b. 3/4 = []/20, c. 2/3 = []/12
d. 1/5 = []/20, e. 2/5 = []/15, f. 3/7 = []/14 | Steps: Step 2 | Teacher: 2. Highlight problem a. Read the problem. | Student: five-sixths equals how many twelfths? || Step 3 | Teacher: 3. We must multiply 5/6 by a fraction that equals 1. To keep the fractions equal, put parentheses next to 5/6. || Step 4 | Teacher: 4. Look at the numbers and get ready to tell me what we must multiply 5/6 by. | Student: 2/2 | Notes: To correct: What is the denominator of the fraction we start with? What is the bottom number of the fraction we end with? Six times what number equals 12? That's the denominator. The fraction we're multiplying equals 1. What fraction goes in the parentheses? || Step 5 | Teacher: 5. Display 2/2 in the parentheses.
Multiply and display in the missing numerator. || Step 6 | Teacher: 6. What fraction does 5/6 Equal?
(Repeat steps 2-6 with remaining problems.) | Student: 10/12"
